Report: 2017-07-14_AA0003_r-012-01.txt
Sensor ID#: AA0003
Installed: 2017-07-14
Comm ID#: C-AA0009
Days active & report #: 012-01
Nest location: 3746.3222N,12226.3567W
Start date/time: 2017/07/24,16:26:31
Report date/time: 2017/07/25,16:25:38
Secs per rec: 0168
# of recs: 00F0
Battery level: 02B7

Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
0096,0178,02EE,013F,FE0F,89BE,000B,077E,0624,1C6F,35DF,1FBB,058D,00A9,001A,0002,0001
0097,0176,02EC,0140,FE11,89C0,000B,07D4,069C,1D10,3410,2034,05AC,008D,000F,0002,0001
0098,0177,02E9,0140,FE0F,89C5,000C,068F,1D11,3594,1FC6,051E,0086,0019,0003,0001,0001
0099,0177,02EB,013F,FE11,89C3,000A,03B7,0795,068C,1CF1,34C8,2028,0554,009F,0016,0001
009A,0178,02EB,013C,FE0F,89C9,000A,03AD,07E1,06C2,1CC3,3419,2076,0584,008C,0015,0002
009B,0178,02EC,013F,FE0A,89C3,000A,0391,07F0,0683,1CA5,352B,1FF4,0555,0093,0012,0001
009C,0178,02E9,013F,FE0F,89D0,000B,078B,06DB,1C6E,3530,2026,052D,008E,0019,0002,0001
009D,0178,02E9,013F,FE09,89C6,000B,07F1,069C,1D12,34C3,2051,0514,0088,000E,0001,0001
009E,0177,02EC,013F,FE10,89CD,000A,0352,07B7,06D4,1D43,348D,2044,052D,009A,0011,0004
009F,0178,02E8,0143,FE09,89CB,000B,07E9,06FE,1D2E,3409,2059,0520,00AA,001A,0003,0001
00A0,0176,02EC,0140,FE0F,89CA,000B,07B4,0702,1D38,3554,1F44,0506,0090,001B,0002,0001
00A1,0178,02EE,0141,FE0C,89C6,000B,07F5,06D8,1D77,3488,1FCE,04EB,0089,0010,0001,0002
00A2,0178,02E8,013F,FE0F,89C4,000A,03C5,07E0,070C,1D4A,3447,1F85,054F,0093,0019,0002
00A3,0178,02EC,0141,FE0B,89BE,000B,0818,0787,1D94,3457,1EDF,04F9,00A4,001B,0002,0001
00A4,0178,02E9,0140,FE09,89C6,000C,0753,1CDF,33BE,2030,058C,0097,0012,0001,0001,0001
00A5,017B,02EB,0140,FE0C,89C2,000B,0868,0781,1DEF,34B7,1E69,048B,008C,0018,0004,0001
00A6,017A,02EC,013E,FE0E,89C5,000B,0878,07D0,1D99,3438,1EF2,0470,0094,0017,0004,0001
00A7,017B,02EC,013F,FE0E,89CC,000A,0369,0870,0800,1DA9,3476,1E7A,04B3,0098,000E,0001
00A8,017A,02EB,013F,FE13,89D5,000B,08BB,0832,1DCA,3443,1DBF,04CA,009B,001A,0001,0001
00A9,017C,02EC,013F,FE0E,89D1,000C,07FE,1D58,33B8,1F01,04BA,009D,000C,0000,0001,0001
