Report: 2017-07-14_AA0003_r-015-01.txt
Sensor ID#: AA0003
Installed: 2017-07-14
Comm ID#: C-AA0009
Days active & report #: 015-01
Nest location: 3746.3222N,12226.3567W
Start date/time: 2017/07/27,16:23:54
Report date/time: 2017/07/28,16:23:02
Secs per rec: 0168
# of recs: 00F0
Battery level: 02B6

Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
007C,0180,02E8,013E,FE0E,89E2,0009,085A,12B3,1004,27C5,259A,0DE2,02ED,008E,0015,0000
007D,017F,02EC,013F,FE0F,89E4,000D,27AF,2662,0E7B,035E,007C,0010,0000,0002,0000,0001
007E,0180,02E8,013F,FE0C,89E4,000B,123A,1032,274B,25C8,0ECD,0346,0073,000D,0003,0001
007F,017F,02EC,013E,FE0C,89E8,000C,0FD8,26AC,2656,0F04,0359,008D,0011,0001,0001,0001
0080,017E,02EC,013C,FE0F,89E7,000B,1206,101F,271E,25AD,0F55,0378,0068,000D,0004,0001
0081,017D,02EF,013C,FE0F,89E9,000A,070D,11DA,0F57,2697,26EB,102C,0378,0072,0011,0002
0082,017F,02E8,013F,FE0C,89E7,000A,0776,118A,0FD4,271D,2690,0F75,036B,0076,000D,0003
0083,017E,02F0,013E,FE0F,89E8,000C,0FC4,2625,26BE,0F7E,0353,0082,0015,0004,0001,0001
0084,017D,02EF,013C,FE0F,89E3,000A,076B,11B7,0FCF,26AB,270E,0F50,0358,0077,0017,0003
0085,017D,02EF,013E,FE0C,89E3,000C,0F3D,2780,26E5,0F99,0352,0080,0015,0001,0000,0001
0086,017C,02EE,013C,FE0F,89E1,000C,0F80,25E1,278F,1064,0389,0088,0011,0000,0000,0001
0087,017D,02EE,013E,FE0C,89E3,000C,0F7E,25AC,2669,111A,03AB,0087,0009,0003,0000,0001
0088,017D,02EE,0143,FE03,89E7,000A,06F8,1117,0F78,2688,275F,107B,036E,007D,000E,0005
0089,017C,02EC,013C,FE0F,89E3,000B,1139,0FF3,2652,2691,1069,0388,0072,0010,0003,0001
008A,0178,02EB,0140,FE0C,89DD,000B,10F1,0F53,25FE,27BB,10B3,0376,007B,0010,0002,0003
008B,017D,02EB,0139,FE13,89D8,000C,0FA5,2649,272E,107D,0356,007B,001A,0001,0000,0001
008C,017C,02EC,013F,FE0C,89DD,000A,06F2,10DF,0EE3,2561,282B,1153,03AB,0089,0013,0003
008D,017B,02E7,013C,FE0E,89D5,000D,26BE,26EE,102F,03DE,007A,000F,0003,0000,0000,0001
008E,017C,02E9,013E,FE0F,89D8,000B,10C2,0F3D,259B,279D,10E5,03EB,007F,0011,0001,0002
008F,017A,02E8,013F,FE0B,89D4,000C,0EFD,25A2,2747,11CE,03D5,0089,001E,0000,0001,0001
0090,017B,02F0,013C,FE0C,89D5,000B,1095,0F0F,24FC,2719,1295,03FB,007D,000F,0001,0001
0091,017B,02EC,013F,FE0F,89C9,000A,06BC,10E2,0EB3,25EE,2755,11E6,03C8,0077,000F,0001
0092,017A,02EC,013C,FE0F,89CD,000C,0F7E,256E,2775,1150,03E3,0088,000D,0002,0000,0001
0093,017B,02EC,0143,FE0F,89D6,000B,108E,0F43,24FA,27F8,1191,0407,0078,0015,0002,0001
0094,017B,02EF,013E,FE0F,89CD,000B,1150,0EC1,257B,270B,11F9,03E4,0065,000F,0000,0001
0095,017B,02EE,013F,FE0F,89CC,000C,0EE4,2557,2799,1215,03EC,007C,0017,0003,0000,0001
0096,017A,02EE,0140,FE0B,89D3,000B,10D5,0EA2,2470,27D2,12C1,03F6,006F,0018,0003,0002
0097,017B,02EE,013C,FE13,89C2,000C,0EEC,24C4,27C0,1251,042A,0076,0010,0001,0000,0001
0098,017A,02EC,013C,FE0B,89C7,000A,0694,1079,0ECC,24FA,2857,1251,03B5,0085,0011,0001
0099,0179,02EB,013F,FE0E,89D0,000C,0E98,25B1,2786,1182,03FC,0073,0013,0002,0001,0001
009A,0179,02EC,013E,FE09,89CD,000A,06C7,10C9,0F12,2523,27E1,11D2,03C5,0076,0018,0002
009B,0178,02F0,013C,FE0A,89D0,000B,10B5,0ED2,255A,27DB,1239,03AA,0095,0011,0002,0001
009C,0175,02E9,013C,FE0D,89C5,000A,06D8,1025,0EBD,2544,2831,121B,03F2,0079,000E,0002
009D,0178,02EE,013F,FE0B,89CB,000C,0F01,24BA,2758,129F,03FD,0073,000C,0001,0003,0001
009E,0177,02E9,013C,FE0F,89C5,000A,06F4,0FE8,0EC2,2566,2837,1262,0395,0077,0019,0003
009F,0178,02EC,013C,FE0E,89C3,0009,0687,103A,0EA0,24EC,2844,12DC,03C6,0081,000F,0000
00A0,0178,02EC,013C,FE0F,89C7,000C,0E71,24F6,27C4,12F9,0417,0090,0012,0002,0001,0002
00A1,0178,02E8,013E,FE0C,89C6,000D,24E7,280C,1322,040C,0077,0012,0003,0000,0000,0001
00A2,017B,02F0,0140,FE06,89C6,000C,0E83,24D3,285E,12EC,03ED,0081,0013,0002,0000,0001
00A3,0179,02E9,013C,FE0F,89CA,000B,0FFF,0E75,24FE,27F9,1324,03F2,0087,000E,0000,0001
00A4,0178,02EF,013E,FE0C,89C3,000B,105F,0EB0,24A7,2847,12F0,03DF,0079,0014,0003,0001
00A5,0179,02EC,013F,FE0F,89CC,000A,064D,1018,0E72,24DA,2876,132B,03E9,007E,0011,0002
00A6,0178,02EE,013C,FE0E,89CD,000B,1094,0E61,249F,2870,12A0,040D,0068,0016,0000,0001
00A7,017B,02F3,013F,FE07,89C8,000B,107C,0ED3,2483,27C5,1304,0425,008E,000E,0000,0001
00A8,0178,02EF,013B,FE10,89C8,000B,1066,0EF0,248C,2810,1277,041F,007A,0018,0004,0001
00A9,0177,02EC,013C,FE0F,89C7,000A,0679,0FFB,0EC2,2496,2842,130C,041A,0079,0018,0002
00AA,0178,02E7,013E,FE0F,89C2,000C,0E84,2522,2814,12E5,03DB,0077,0013,0001,0001,0001
00AB,0176,02F0,0139,FE0B,89C0,000A,0658,0FC9,0F2C,2423,283C,1370,03F7,008C,001E,0003
00AC,0178,02EC,013F,FE09,89CC,000A,06CF,0FFE,0E6A,24A9,28BA,12A2,03DC,0093,001F,0002
00AD,0178,02EB,013F,FE0F,89C6,000A,0687,10E1,0E83,24A8,27D7,12BE,040B,007A,0014,0005
00AE,0178,02F0,013F,FE0F,89C9,000B,1045,0F05,24EF,27FC,129F,03E4,0075,0020,0000,0001
00AF,0178,02EE,013C,FE0F,89D1,000A,06CC,107F,0ED6,2592,27E0,11D7,03D3,0077,0017,0006
00B0,0179,02EE,0138,FE0F,89CC,000D,2580,2764,11D0,0417,0073,0015,0004,0000,0000,0001
00B1,017B,02EC,013B,FE11,89CB,000C,0EE5,24CC,2813,1294,03F1,00C6,0020,0002,0000,0002
00B2,0179,02EE,0143,FE0C,89C8,000A,0666,10B4,0F54,2549,27E7,11D3,03C8,0083,0009,0003
00B3,0179,02EC,013F,FE0F,89C7,000B,10D2,0F41,25A0,27E3,1142,03D6,0070,000A,0001,0001
00B4,017B,02EB,0140,FE0C,89D3,000A,06FB,10FA,0F61,2583,2837,10EB,033D,0081,0016,0004
00B5,017B,02EC,013F,FE09,89D0,000A,0724,10F5,0F95,24F1,27EE,1114,0393,0087,0012,0003
00B6,017B,02EE,013F,FE0E,89D8,000C,1008,2610,2778,10B1,035E,0076,001E,0001,0001,0001
00B7,017C,02EF,013E,FE0F,89D6,000A,0738,11CA,0FC2,2686,26E8,0FC4,0352,0078,0015,0001
00B8,017C,02E9,013E,FE0B,89CE,000C,0FB0,26AC,2743,0FFD,035A,0083,0010,0003,0001,0001
00B9,017C,02EC,013E,FE0F,89CB,000A,06FB,10E6,0FD4,2674,2765,103B,036C,007D,0017,0002
00BA,017C,02EC,013C,FE0C,89CE,000A,0750,112F,0FBC,26BA,275B,0F9F,0359,0079,000C,0001
00BB,017B,02F0,013C,FE0A,89D8,000C,0FDC,26F0,26FC,0EDB,0326,0082,0014,0001,0001,0001
00BC,017D,02EC,0139,FE0F,89D9,000B,11FB,0FB2,2735,26C8,0F52,0302,0064,0011,0004,0001
00BD,017C,02EF,013F,FE07,89D2,000D,264B,27A0,0EFD,0347,0077,0015,0000,0000,0000,0001
00BE,017C,02EB,013F,FE0F,89E1,000D,2717,2752,0E6E,0326,006F,0017,0001,0000,0000,0001
00BF,017D,02E9,013F,FE0C,89E6,000A,07CB,1225,0F82,2748,2761,0E12,032E,006C,001B,0004
00C0,017C,02EE,013E,FE11,89E5,000C,108E,26E6,26C8,0E01,030D,005A,0015,0001,0000,0001
00C1,017D,02F0,013E,FE0F,89E1,000B,11F2,1106,277C,2683,0DD4,02F5,007B,0014,0000,0001
00C2,017F,02EC,013F,FE0E,89E5,000A,07CA,11BE,1045,2750,2782,0DE2,02F0,0064,000A,0006
00C3,0180,02F0,013C,FE07,89E7,000B,129D,10A5,2783,26E6,0CEA,02C7,0076,0016,0003,0001
00C4,017F,02EC,013F,FE0C,89EC,000A,081E,12E3,114E,279C,2631,0CB2,02AB,0067,000B,0001
00C5,0180,02EE,013C,FE0F,89EE,000A,08C3,12BB,10D6,26BD,2715,0C7B,02C9,0073,0010,0001
00C6,0180,02F0,013E,FE0D,89EC,000C,1131,2785,2606,0C60,02BD,0076,001C,0000,0001,0001
00C7,017F,02EC,013E,FE0F,89F4,000A,08C6,12E6,1156,2715,2685,0C5C,0285,006A,000B,0002
00C8,0181,02EF,013C,FE0E,89F8,000B,1302,117F,2737,2675,0BF0,02B6,0081,0016,0001,0002
00C9,0180,02EC,013F,FE0E,89F4,000A,091B,1322,117C,277B,2641,0BA5,0259,0074,000A,0003
00CA,0182,02EC,013E,FE0C,89ED,000C,1175,27B3,25C5,0B6B,027D,0077,0011,0002,0000,0004
00CB,0182,02EE,013F,FE0E,89F2,000A,0947,13A0,116C,2728,2652,0B51,026A,0054,0011,0005
00CC,0181,02EC,013C,FE0C,89FA,000D,26D7,2619,0BC2,0280,006E,0015,0001,0000,0000,0001
00CD,0183,02F0,013F,FE0C,89FB,000A,08EC,1357,1125,2755,2661,0BBD,029B,0071,0010,0004
