tDays,Energy,Count,EnergyPerCountFiltered,Temp,X,Y,Z,CalEn,BIN_0,BIN_1,BIN_2,BIN_3,BIN_4,BIN_5,BIN_6,BIN_7,BIN_8,BIN_9,BIN_10,BIN_11,BIN_12,BIN_13,BIN_14,BIN_15,BIN_16,BIN_17,BIN_18,BIN_19,BIN_20,BIN_21,BIN_22,BIN_23,BIN_24,BIN_25,BIN_26,BIN_27,BIN_28,BIN_29,comportamiento
55.46883102,228415,17807,12.82725894,928,64870,958,68,2104519644.0,729,1359,968,2268,4922,5154,2026,327,42,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.47091435,214335,17810,12.03453116,925,64867,959,76,2104326573.0,535,1209,943,2958,5510,4514,1807,295,28,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.47299769,209269,17797,11.75866719,926,64867,953,78,2104320991.0,809,1295,875,3124,5376,4208,1770,276,57,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.47508102,189735,17805,10.65627633,928,64867,959,72,2104326277.0,760,1365,895,3257,5642,4202,1500,168,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.47716435,221052,17808,12.41307278,934,64871,958,76,2104585091.0,1020,1020,1020,2442,5112,5032,1897,206,47,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.47924769,223638,17820,12.54983165,934,64867,955,78,2104322899.0,759,1232,803,2666,5253,4637,2095,336,36,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.48133102,188756,17807,10.60010108,923,64865,956,72,2104193673.0,737,1326,855,3538,6104,3473,1523,218,31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.48341435,165175,17796,9.28158013,907,64867,956,76,2104323701.0,606,1495,1338,3925,5893,3393,985,135,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.48549769,152553,17766,8.586795002,892,64864,960,71,2104132569.0,715,1667,1513,4021,5686,3257,796,90,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.48758102,165446,17746,9.323002367,882,64867,960,78,2104327687.0,667,1660,1369,3962,5490,3350,1078,140,27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.48966435,162920,17746,9.180660431,875,64867,956,71,2104323333.0,705,1656,1432,3722,5563,3480,1056,117,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
